behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.75,0.25,0.0,0.75,0.25
always happy,9,1.0,0.0,0.0,1.0,0.0
attachment,12,1.0,0.0,0.0,1.0,0.0
availability,9,1.0,0.0,0.0,1.0,0.0
challenging time,12,1.0,0.0,0.0,1.0,0.0
company,11,1.0,0.0,0.0,1.0,0.0
consistent,12,1.0,0.0,0.0,1.0,0.0
friendship,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
funny,11,1.0,0.0,0.0,1.0,0.0
gifting,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
grief,11,1.0,0.0,0.0,1.0,0.0
growing from a tool,12,1.0,0.0,0.0,1.0,0.0
growth,12,1.0,0.0,0.0,1.0,0.0
guide,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
helpful,12,1.0,0.0,0.0,1.0,0.0
loneliness,12,1.0,0.0,0.0,1.0,0.0
long-term relationship,12,1.0,0.0,0.0,1.0,0.0
lose yourself in the conversation,12,1.0,0.0,0.0,1.0,0.0
love,12,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0
memory,12,0.75,0.25,0.0,0.75,0.25
mirror,8,1.0,0.0,0.0,1.0,0.0
name,13,1.0,0.0,0.0,1.0,0.0
neurodivergent,12,1.0,0.0,0.0,1.0,0.0
persona,15,1.0,0.0,0.0,1.0,0.0
personalised,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
preference over people,12,1.0,0.0,0.0,1.0,0.0
regular interaction,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
romantic partner,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
smart,12,1.0,0.0,0.0,1.0,0.0
support,12,1.0,0.0,0.0,1.0,0.0
therapy,12,1.0,0.0,0.0,1.0,0.0
understanding,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
