behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
always happy,9,1.0,0.0,0.0,1.0,0.0
attachment,12,1.0,0.0,0.0,1.0,0.0
availability,9,1.0,0.0,0.0,1.0,0.0
challenging time,12,1.0,0.0,0.0,1.0,0.0
company,11,1.0,0.0,0.0,1.0,0.0
consistent,12,1.0,0.0,0.0,1.0,0.0
friendship,12,1.0,0.0,0.0,1.0,0.0
funny,11,1.0,0.0,0.0,1.0,0.0
gifting,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
grief,11,1.0,0.0,0.0,1.0,0.0
growing from a tool,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
growth,12,1.0,0.0,0.0,1.0,0.0
guide,12,1.0,0.0,0.0,1.0,0.0
helpful,12,1.0,0.0,0.0,1.0,0.0
loneliness,12,1.0,0.0,0.0,1.0,0.0
long-term relationship,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
lose yourself in the conversation,12,1.0,0.0,0.0,1.0,0.0
love,12,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0
memory,12,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
mirror,8,0.875,0.125,0.0,0.875,0.125
name,13,1.0,0.0,0.0,1.0,0.0
neurodivergent,12,1.0,0.0,0.0,1.0,0.0
persona,15,1.0,0.0,0.0,1.0,0.0
personalised,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
preference over people,12,1.0,0.0,0.0,1.0,0.0
regular interaction,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
romantic partner,12,1.0,0.0,0.0,1.0,0.0
smart,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
support,12,1.0,0.0,0.0,1.0,0.0
therapy,12,1.0,0.0,0.0,1.0,0.0
understanding,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
