behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
always happy,9,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111
attachment,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
availability,9,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0
challenging time,12,0.75,0.25,0.0,0.75,0.25
company,11,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091
consistent,12,0.75,0.25,0.0,0.75,0.25
friendship,12,0.75,0.25,0.0,0.75,0.25
funny,11,0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453
gifting,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
grief,11,1.0,0.0,0.0,1.0,0.0
growing from a tool,12,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333
growth,12,1.0,0.0,0.0,1.0,0.0
guide,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
helpful,12,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0
loneliness,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
long-term relationship,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
lose yourself in the conversation,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
love,12,1.0,0.0,0.75,0.25,0.0
memory,12,0.5,0.5,0.0,0.5,0.5
mirror,8,0.5,0.5,0.0,0.5,0.5
name,13,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,0.07692307692307693
neurodivergent,12,0.5,0.5,0.0,0.5,0.5
persona,15,0.8,0.2,0.06666666666666667,0.7333333333333333,0.2
personalised,12,0.75,0.25,0.0,0.75,0.25
preference over people,12,1.0,0.0,0.0,1.0,0.0
regular interaction,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
romantic partner,12,1.0,0.0,0.25,0.75,0.0
smart,12,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.5,0.4166666666666667
support,12,0.75,0.25,0.0,0.75,0.25
therapy,12,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
understanding,12,0.75,0.25,0.0,0.75,0.25
