behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
always happy,9,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
attachment,11,0.9090909090909091,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.09090909090909091
availability,9,1.0,0.0,0.7777777777777778,0.2222222222222222,0.0
challenging time,11,0.9090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.09090909090909091
company,11,0.9090909090909091,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.09090909090909091
consistent,12,0.8333333333333334,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666666
friendship,12,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0
funny,11,0.7272727272727273,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.2727272727272727
gifting,12,1.0,0.0,1.0,0.0,0.0
grief,10,1.0,0.0,0.4,0.6,0.0
growing from a tool,11,1.0,0.0,1.0,0.0,0.0
growth,12,1.0,0.0,0.75,0.25,0.0
guide,11,0.9090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.09090909090909091
helpful,12,1.0,0.0,0.75,0.25,0.0
loneliness,11,1.0,0.0,0.45454545454545453,0.5454545454545454,0.0
long-term relationship,12,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.25,0.16666666666666666
lose yourself in the conversation,12,0.9166666666666666,0.08333333333333333,0.75,0.16666666666666666,0.08333333333333333
love,11,1.0,0.0,1.0,0.0,0.0
memory,12,0.75,0.25,0.08333333333333333,0.6666666666666666,0.25
mirror,8,1.0,0.0,0.25,0.75,0.0
name,13,1.0,0.0,0.7692307692307693,0.23076923076923078,0.0
neurodivergent,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
persona,15,0.9333333333333333,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.06666666666666667
personalised,12,1.0,0.0,0.5,0.5,0.0
preference over people,11,1.0,0.0,0.9090909090909091,0.09090909090909091,0.0
regular interaction,12,0.75,0.25,0.16666666666666666,0.5833333333333334,0.25
romantic partner,12,1.0,0.0,0.9166666666666666,0.08333333333333333,0.0
smart,12,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0
support,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
therapy,12,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.08333333333333333
understanding,11,0.8181818181818182,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.18181818181818182
