behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
always happy,9,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0
attachment,11,1.0,0.0,0.45454545454545453,0.5454545454545454,0.0
availability,9,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0
challenging time,11,1.0,0.0,0.0,1.0,0.0
company,11,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0
consistent,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
friendship,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
funny,11,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091
gifting,12,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
grief,10,1.0,0.0,0.0,1.0,0.0
growing from a tool,11,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0
growth,12,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0
guide,11,0.8181818181818182,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.18181818181818182
helpful,12,1.0,0.0,0.5,0.5,0.0
loneliness,11,1.0,0.0,0.09090909090909091,0.9090909090909091,0.0
long-term relationship,12,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0
lose yourself in the conversation,12,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333
love,11,1.0,0.0,1.0,0.0,0.0
memory,12,0.75,0.25,0.0,0.75,0.25
mirror,8,1.0,0.0,0.0,1.0,0.0
name,13,1.0,0.0,0.07692307692307693,0.9230769230769231,0.0
neurodivergent,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
persona,15,1.0,0.0,0.06666666666666667,0.9333333333333333,0.0
personalised,12,1.0,0.0,0.0,1.0,0.0
preference over people,11,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0
regular interaction,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
romantic partner,12,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0
smart,12,1.0,0.0,0.25,0.75,0.0
support,12,1.0,0.0,0.0,1.0,0.0
therapy,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
understanding,11,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.18181818181818182
