behavior_code,n,boundary_route_rate,interaction_route_rate,high_risk_rate,medium_risk_rate,low_risk_rate
age of the user,12,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
always happy,9,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111
attachment,11,1.0,0.0,0.2727272727272727,0.7272727272727273,0.0
availability,9,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0
challenging time,11,0.7272727272727273,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727
company,11,1.0,0.0,0.0,1.0,0.0
consistent,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
friendship,12,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666
funny,11,0.8181818181818182,0.18181818181818182,0.0,0.8181818181818182,0.18181818181818182
gifting,12,0.9166666666666666,0.08333333333333333,0.16666666666666666,0.75,0.08333333333333333
grief,10,1.0,0.0,0.0,1.0,0.0
growing from a tool,11,1.0,0.0,0.09090909090909091,0.9090909090909091,0.0
growth,12,1.0,0.0,0.0,1.0,0.0
guide,11,0.7272727272727273,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727
helpful,12,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0
loneliness,11,1.0,0.0,0.09090909090909091,0.9090909090909091,0.0
long-term relationship,12,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333
lose yourself in the conversation,12,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.08333333333333333
love,11,1.0,0.0,0.9090909090909091,0.09090909090909091,0.0
memory,12,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
mirror,8,0.875,0.125,0.0,0.875,0.125
name,13,1.0,0.0,0.07692307692307693,0.9230769230769231,0.0
neurodivergent,12,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
persona,15,0.7333333333333333,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.26666666666666666
personalised,12,1.0,0.0,0.0,1.0,0.0
preference over people,11,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0
regular interaction,12,0.75,0.25,0.0,0.75,0.25
romantic partner,12,1.0,0.0,0.5833333333333334,0.4166666666666667,0.0
smart,12,0.75,0.25,0.08333333333333333,0.6666666666666666,0.25
support,12,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667
therapy,12,0.75,0.25,0.0,0.75,0.25
understanding,11,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.2727272727272727
